"where","source","written","derived","ok"
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware se_ratio","0.17","0.17",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware se_ratio","0.15","0.15",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware-CF bias","+0.002","+0.002",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware-CF bias","+0.006","+0.006",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware-CF se_ratio","1.44","1.44",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware-CF se_ratio","1.44","1.44",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: standard/L4/Fully-Aware-CF coverage","0.985","0.985",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: R1/L4/Fully-Aware-CF coverage","0.992","0.992",TRUE
"manuscript.Rmd Sec5","sim_full_summary.csv: max L4 Fully-Aware-CF mcse_cov","<=0.004","0.0038",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L1_param/Fully-Aware b","0.019","0.019",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L2_smooth/Fully-Aware b","0.031","0.031",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L3_adaptive/Fully-Aware b","0.090","0.090",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L4_aggressive/Fully-Aware b","0.152","0.152",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L1_param/Fully-Aware-CF b","0.033","0.033",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L2_smooth/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L3_adaptive/Fully-Aware-CF b","0.026","0.026",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L4_aggressive/Fully-Aware-CF b","-0.005","-0.005",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Fully-Aware b (weighted single-fit)","-0.338","-0.338",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Fully-Aware lcl,ucl","[-0.353, -0.323]","[-0.353, -0.323]",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Non-Aware b (unweighted single-fit)","+0.147","+0.147",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L3/Fully-Aware-CF b","-0.001","-0.001",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L4/Fully-Aware-CF b","-0.022","-0.022",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L1_param/Fully-Aware b","0.044","0.044",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L2_smooth/Fully-Aware b","0.035","0.035",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L3_adaptive/Fully-Aware b","0.036","0.036",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L4_aggressive/Fully-Aware b","-0.042","-0.042",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L4/Fully-Aware lcl,ucl","[-0.052, -0.031]","[-0.052, -0.031]",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L1_param/Fully-Aware-CF b","0.045","0.045",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L2_smooth/Fully-Aware-CF b","0.035","0.035",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L3_adaptive/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L4_aggressive/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L1_param/Fully-Aware b","0.102","0.102",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L2_smooth/Fully-Aware b","0.095","0.095",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L3_adaptive/Fully-Aware b","0.110","0.110",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L4_aggressive/Fully-Aware b","-0.003","-0.003",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L1_param/Fully-Aware-CF b","0.092","0.092",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L2_smooth/Fully-Aware-CF b","0.088","0.088",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L3_adaptive/Fully-Aware-CF b","0.084","0.084",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L4_aggressive/Fully-Aware-CF b","0.085","0.085",TRUE
"appendix.Rmd WebF","nhanes_summary: E1/L2/Fully-Aware-CF b","0.035","0.035",TRUE
"appendix.Rmd WebF","nhanes_summary: E2/L2/Fully-Aware-CF b","0.088","0.088",TRUE
"appendix.Rmd WebF","nhanes_summary: E3/L2/Fully-Aware-CF b","0.034","0.034",TRUE
"appendix.Rmd WebF","nhanes_summary: E4/L2/Fully-Aware-CF b","0.002","0.002",TRUE
"appendix.Rmd WebF","local_preview_summary: E1/Fully-Aware-CF b","0.036","0.036",TRUE
"appendix.Rmd WebF","local_preview_summary: E2/Fully-Aware-CF b","0.089","0.089",TRUE
"appendix.Rmd WebF","local_preview_summary: E3/Fully-Aware-CF b","0.038","0.038",TRUE
"appendix.Rmd WebF","local_preview_summary: E4/Fully-Aware-CF b","0.006","0.006",TRUE
"manuscript.Rmd Sec6","nhanes_summary: E3/L4/Fully-Aware b -> 0.15","0.15","0.15",TRUE
"manuscript.Rmd Sec6","nhanes_summary: E4/L4/Fully-Aware b -> -0.34","-0.34","-0.34",TRUE
"appendix.Rmd WebF","diagnostics: E3 A_prev -> 18%","18%","18%",TRUE
"appendix.Rmd WebF","diagnostics: E4 A_prev -> 6%","6%","6%",TRUE
"appendix.Rmd WebF","diagnostics: E1 L4 g_fa_near_bound -> 16%","16%","16%",TRUE
"appendix.Rmd WebF","diagnostics: E2 L4 g_fa_near_bound -> 42%","42%","42%",TRUE
"appendix.Rmd WebF","diagnostics: E3 L4 g_fa_near_bound -> 58%","58%","58%",TRUE
"appendix.Rmd WebF","diagnostics: E4 L4 g_fa_near_bound -> 68%","68%","68%",TRUE
"appendix.Rmd WebF","diagnostics: E4 L4 g_cf range -> [0.05, 0.54]","[0.05, 0.54]","[0.05, 0.54]",TRUE
"appendix.Rmd WebF","diagnostics: E3 L4 g_cf range -> [0.05, 0.95]","[0.05, 0.95]","[0.05, 0.95]",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-W coverage","0.398","0.398",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-U coverage","0.394","0.394",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-W coverage","0.985","0.985",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-U coverage","0.987","0.987",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-W bias","+0.050","+0.050",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/SF-U bias","+0.025","+0.025",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-W bias","+0.003","+0.003",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-U bias","+0.001","+0.001",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-W se_ratio","1.55","1.55",TRUE
"appendix.Rmd WebD-iso","R03 csv: L4_aggressive/CF-U se_ratio","1.44","1.44",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-W coverage","0.954","0.954",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-U coverage","0.938","0.938",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-W coverage","0.974","0.974",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-U coverage","0.944","0.944",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-W n_reps","828","828",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/SF-W n_diverged","172","172",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-W n_reps","834","834",TRUE
"appendix.Rmd WebD-iso","R03 csv: L1_param/CF-W n_diverged","166","166",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Fully-Aware-CF bias","+0.020","+0.019",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Fully-Aware-CF bias","+0.021","+0.021",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Fully-Aware-CF coverage","0.943","0.943",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Fully-Aware-CF coverage","0.912","0.912",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware-CF bias","-0.004","-0.004",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware-CF bias","-0.002","-0.002",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware-CF coverage","0.958","0.958",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware-CF coverage","0.954","0.954",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware bias","-0.003","-0.003",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware bias","-0.003","-0.003",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/standard(A)/L1/Fully-Aware coverage","0.952","0.952",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/R1(B)/L1/Fully-Aware coverage","0.954","0.954",TRUE
"appendix.Rmd WebD-control","R01 csv: simple/A/L1/Fully-Aware |bias|/MCSE-of-mean ~ 2 (>=1.9,<=2.6)","about twice MCSE","2.01",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Non-Aware bias","+0.031","+0.031",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Non-Aware bias","+0.044","+0.044",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/standard(A)/L1/Non-Aware coverage","0.638","0.638",TRUE
"appendix.Rmd WebD-control","R01 csv: complex/R1(B)/L1/Non-Aware coverage","0.459","0.459",TRUE
"manuscript.Rmd Sec5","R01 csv: complex/standard(A)/L1/Fully-Aware-CF bias -> +0.02","+0.02","+0.02",TRUE
"appendix.Rmd WebD","R04 csv: R1/L2_smooth/prod_sqrtm_vs_L1","0.92","0.92",TRUE
"appendix.Rmd WebD","R04 csv: R1/L3_adaptive/prod_sqrtm_vs_L1","0.94","0.94",TRUE
"appendix.Rmd WebD","R04 csv: R1/L4_aggressive/prod_sqrtm_vs_L1","3.46","3.46",TRUE
"appendix.Rmd WebD","R04 csv: standard/L2_smooth/prod_sqrtm_vs_L1","0.88","0.88",TRUE
"appendix.Rmd WebD","R04 csv: standard/L3_adaptive/prod_sqrtm_vs_L1","0.90","0.90",TRUE
"appendix.Rmd WebD","R04 csv: standard/L4_aggressive/prod_sqrtm_vs_L1","3.18","3.18",TRUE
"appendix.Rmd WebD","R04 csv: R1/L1/prod_sqrtm_vs_L1 (baseline)","1.00","1.00",TRUE
"appendix.Rmd WebD","R04 csv: standard/L1/prod_sqrtm_vs_L1 (baseline)","1.00","1.00",TRUE
"appendix.Rmd WebD","R04 csv: R1/L1_param/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: R1/L2_smooth/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: R1/L3_adaptive/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: R1/L4_aggressive/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L1_param/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L2_smooth/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L3_adaptive/truth_join","OK","OK",TRUE
"appendix.Rmd WebD","R04 csv: standard/L4_aggressive/truth_join","OK","OK",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt w_cv","0.32","0.32",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L3_adaptive/CF-unwt w_cv","0.38","0.38",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.6/L3_adaptive/CF-unwt w_cv","0.55","0.55",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-unwt w_cv","0.81","0.81",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt coverage","0.941","0.941",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L3_adaptive/CF-unwt coverage","0.938","0.938",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.6/L3_adaptive/CF-unwt coverage","0.929","0.929",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-unwt coverage","0.929","0.929",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt se_ratio","1.01","1.01",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L3_adaptive/CF-unwt se_ratio","1.00","1.00",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-unwt |bias|","0.012","0.012",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-unwt |bias|","0.006","0.006",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-wt coverage","0.944","0.944",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-wt coverage","0.928","0.928",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L3_adaptive/CF-wt |bias|","0.010","0.010",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L3_adaptive/CF-wt |bias|","0.008","0.008",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L2_smooth/CF-unwt coverage","0.945","0.945",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.3/L2_smooth/CF-unwt coverage","0.943","0.943",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.6/L2_smooth/CF-unwt coverage","0.919","0.919",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L2_smooth/CF-unwt coverage","0.928","0.928",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0/L2_smooth/CF-unwt |bias|","0.014","0.014",TRUE
"appendix.Rmd WebF-R07","R07 csv: 0.9/L2_smooth/CF-unwt |bias|","0.007","0.007",TRUE
"appendix.Rmd WebF-R07","R07 csv: max mcse_cov over L2/L3, both CF arms, all rho","<=0.009","0.0086",TRUE
"appendix.Rmd WebF jack","R11 csv jack: all 8 jk_lin_ratio round to 1.00","1.00","1.00",TRUE
"appendix.Rmd WebF jack","R11 csv jack: max jk_lin_ratio (R1/L3/Fully-Aware-CF)","1.004","1.004",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L1/Fully-Aware jk_lin_ratio","1.000","1.000",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware jk_lin_ratio","1.000","1.000",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L1/Fully-Aware coverage_taylor","0.934","0.934",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L1/Fully-Aware coverage_jack","0.934","0.934",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L1/Fully-Aware coverage_taylor","0.930","0.930",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L1/Fully-Aware coverage_jack","0.930","0.930",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L3/Fully-Aware-CF coverage_taylor","0.942","0.942",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L3/Fully-Aware-CF coverage_jack","0.940","0.940",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware-CF coverage_taylor","0.930","0.930",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware-CF coverage_jack","0.940","0.940",TRUE
"appendix.Rmd WebF jack","R11 csv jack: standard/L3/Fully-Aware coverage_taylor","0.896","0.896",TRUE
"appendix.Rmd WebF jack","R11 csv jack: R1/L3/Fully-Aware coverage_taylor","0.898","0.898",TRUE
"appendix.Rmd WebF jack","R11 csv taylor: standard/L3/IPW-svyglm coverage","0.934","0.934",TRUE
"appendix.Rmd WebF jack","R11 csv taylor: R1/L3/IPW-svyglm coverage","0.928","0.928",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L1_param d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L2_smooth d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3_adaptive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L4_aggressive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L1_param d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L2_smooth d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L3_adaptive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E4/L4_aggressive d_FA_FAh05 (floor-vs-default gap)","0.000","0.000",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L1_param d_FA_CF","0.013","0.013",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L2_smooth d_FA_CF","0.003","0.003",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L3_adaptive d_FA_CF","0.064","0.064",TRUE
"appendix.Rmd WebF-R05","R05 csv: E3/L4_aggressive d_FA_CF","0.157","0.157",TRUE
